sim,seed,survived,tracking_error_mean,base_height_dev_mean,feet_force_rms,episode_seconds,fall_timestep
mujoco_cpu,85,True,0.08812589974493552,0.022067131683107418,47.543972694181825,30.0,-1
mujoco_cpu,86,False,0.9252214859447672,0.028759931314886782,70.45610447519735,1.82,90
mujoco_cpu,87,True,0.08574404048422815,0.023440256690936342,47.61813035795286,30.0,-1
mujoco_cpu,88,True,0.09377031460345041,0.023907941825907084,47.32997079644139,30.0,-1
mujoco_cpu,89,True,0.08159253174529235,0.02363913652020204,47.60684346854934,30.0,-1
mujoco_cpu,90,True,0.08689617173032525,0.024226540411959357,47.39329216635786,30.0,-1
mujoco_cpu,91,False,0.41818272971917014,0.05378861843763106,55.82219177314406,0.8,39
mujoco_cpu,92,True,0.08818838763017323,0.02368049203718694,47.376240898321235,30.0,-1
mujoco_cpu,93,False,0.8760963987954569,0.03375528873902227,76.08925342710931,1.4000000000000001,69
mujoco_cpu,94,False,0.37866252012684093,0.04959236722372468,52.918736674655726,0.74,36
mujoco_cpu,95,True,0.08695326293815378,0.023326612348193953,47.72656131734352,30.0,-1
mujoco_cpu,96,False,0.893498737433045,0.03428182818179616,68.89626301652622,1.52,75
mujoco_cpu,97,True,0.08990856744615418,0.024233216372197934,47.36633978536327,30.0,-1
mujoco_cpu,98,False,0.9034988006619418,0.037661321383263155,71.30243837179383,1.68,83
mujoco_cpu,99,True,0.08626375070677453,0.022033264937622907,47.397287570214964,30.0,-1
